Full Reference,Reference,doi,url,dir,title,au1,journal,scopus_id,nrefs,type,maybe
"McRobbie H, Bullen C, Hartmann-Boyce J, Hajek P. Electronic cigarettes for smoking cessation and reduction. Cochrane Database of Systematic Reviews. 2014.","McRobbie, H et al. (2014a)",10.1002/14651858.CD010216.pub2,NA,NA,Electronic cigarettes for smoking cessation and reduction,Mcrobbie H.,Cochrane Database of Systematic Reviews,SCOPUS_ID:84925226916,7,Journal article,0
"Schripp T, Markewitz D, Uhde E, Salthammer T. Does e-cigarette consumption cause passive vaping?Indoor Air 2013 Feb;23(1):25-31 Abstract available at http://www.ncbi.nlm.nih.gov/pubmed/22672560.","Schripp, T et al. (2013)",NA,http://www.ncbi.nlm.nih.gov/pubmed/22672560,NA,Does e-cigarette consumption cause passive vaping?,"Schripp T, Markewitz D, Uhde E, Salthammer T.",NA,NA,6,Journal article,0
"Brose L, Hitchman S, Brown J, West R, McNeill A. Is the use of electronic cigarettes while smoking associated withsmoking cessation attempts, cessation and reduced cigarette consumption? A survey with a 1-year follow-up. Addiction. 2015;110(7):1160-1168.","Brose, LS et al. (2015a)",NA,NA,NA,"Is the use of electronic cigarettes while smoking associated withsmoking cessation attempts, cessation and reduced cigarette consumption? A survey with a 1-year follow-up","Brose L, Hitchman S, Brown J, West R, McNeill A.",NA,NA,5,Journal article,0
"Jensen, R.P., et al., Hidden Formaldehyde in E-Cigarette Aerosols. New England Journal of Medicine, 2015. 372(4): p. 392-394.","Jensen, RP et al. (2015)",NA,NA,NA,Hidden Formaldehyde in E-Cigarette Aerosols,"Jensen, R.P. et al.",NA,NA,5,Journal article,0
"Goniewicz, M.L., P. Hajek, and H. McRobbie, Nicotine content of electronic cigarettes, its release in vapour and its consistency across batches: regulatory implications. Addiction, 2014. 109(3): p. 500-507.","Goniewicz, ML et al. (2014b)",10.1111/add.12410,NA,NA,NA,NA,NA,NA,4,Journal article,0
"Burstyn I. Peering through the mist: what does the chemistry of contaminants in electronic cigarettes tell us about health risks? Available at: http://publichealth.drexel.edu/~/media/Files/publichealth/ms08.pdf. Accessed December 11, 2014.","Burstyn, I (2014)",NA,http://publichealth.drexel.edu/~/media/Files/publichealth/ms08.pdf,NA,Peering through the mist: what does the chemistry of contaminants in electronic cigarettes tell us about health risks?,Burstyn I.,NA,NA,4,Journal article,0
"Grana R, Benowitz N, Glantz SA. Background paper on e-cigarettes (electronic nicotine delivery systems). Available at: http://escholarship.org/uc/item/13p2b72n#page-2. Accessed December 11, 2014.","Grana, R et al. (2013)",NA,http://escholarship.org/uc/item/13p2b72n#page-2,NA,Background paper on e-cigarettes (electronic nicotine delivery systems),"Grana R, Benowitz N, Glantz SA.",NA,NA,4,Journal article,0
"Lerner C a, Sundar IK, Yao H, et al. Vapors produced by electronic cigarettes and e-juices with flavorings induce toxicity, oxidative stress, and inflammatory response in lung epithelial cells and in mouse lung. PloS one. 2015;10(2):e0116732. Available at: http://www.ncbi.nlm.nih.gov/pubmed/25658421. Accessed February 11, 2015.","Lerner, CA et al. (2015a)",NA,http://www.ncbi.nlm.nih.gov/pubmed/25658421,NA,"Vapors produced by electronic cigarettes and e-juices with flavorings induce toxicity, oxidative stress, and inflammatory response in lung epithelial cells and in mouse lung","Lerner C a, Sundar IK, Yao H, et al.",NA,NA,4,Journal article,0
"Adkison SE, O'Connor RJ, Bansal-Travers M, Hyland A, Borland R, Yong HH, et al. Electronicnicotine delivery systems: international tobacco control four-country survey. Am J Prev Med 2013 Mar;44(3):207-15 Abstract available at http://www.ncbi.nlm.nih.gov/pubmed/23415116.","Adkison, SE et al. (2013)",NA,http://www.ncbi.nlm.nih.gov/pubmed/23415116,NA,Electronicnicotine delivery systems: international tobacco control four-country survey,"Adkison SE, O'Connor RJ, Bansal-Travers M, Hyland A, Borland R, Yong HH, et al",NA,NA,4,Journal article,0
"Etter JF, Zather E, Svensson S. Analysis of refill liquids for electronic cigarettes. Addiction 2013;108(9):1671–9. Exponent Inc. NJOY E-Cigarette Health Risk Assessment 2009; <http://truthaboutecigs.com/science/5.php>; accessed: May 21, 2015.","Etter, JF et al. (2013)",10.1111/add.12235,http://truthaboutecigs.com/science/5.php,NA,Analysis of refill liquids for electronic cigarettes,Etter J.,Addiction,SCOPUS_ID:84882246514,4,Journal article,0
"McRobbie, H., et al., Effects of the use of electronic cigarettes with and without concurrent smoking on acrolein delivery. 2014: London.","McRobbie, H et al. (2014b)",NA,NA,NA,Effects of the use of electronic cigarettes with and without concurrent smoking on acrolein delivery,"McRobbie, H., et al.",NA,NA,4,Journal article,0
"Benowitz NL, Goniewicz ML. The regulatory challenge of electronic cigarettes. JAMA 2013 Aug 21;310(7):685-6 Abstract available at http://www.ncbi.nlm.nih.gov/pubmed/23856948.","Benowitz, NL and Goniewicz, ML (2013b)",NA,http://www.ncbi.nlm.nih.gov/pubmed/23856948,NA,The regulatory challenge of electronic cigarettes,"Benowitz NL, Goniewicz ML.",NA,NA,3,Journal article,0
"Harber P, Saechao K, Boomus C. Diacetyl-Induced Lung Disease. Toxicological Reviews. 2006;25(4):261-272.","Harber, P et al. (2006)",10.2165/00139709-200625040-00006,NA,NA,Diacetyl-induced lung disease.,Harber P.,Toxicological reviews,SCOPUS_ID:34247164124,3,Journal article,0
"Hess I, Lachireddy K, Capon A. A systematic review of the health risks from passive exposure to electronic cigarette vapour. Public Health Research & Practice. 2016;26(2).","Hess, IM et al. (2016)",10.17061/phrp2621617,NA,NA,A systematic review of the health risks from passive exposure to electronic cigarette vapour,Hess I.,Public Health Research and Practice,SCOPUS_ID:84993661845,3,Journal article,0
"Nides, M.A., et al., Nicotine blood levels and short-term smoking reduction with an electronic nicotine delivery system. American journal of health behavior, 2014. 38(2): p. 265-274.","Nides, MA et al. (2014)",10.5993/AJHB.38.2.12,NA,NA,Nicotine blood levels and short-term smoking reduction with an electronic nicotine delivery system,Nides M.,American Journal of Health Behavior,SCOPUS_ID:84888871245,3,Journal article,0
"Etter, J.F., Levels of saliva cotinine in electronic cigarette users. Addiction, 2014. 109(5): p. 825-9.","Etter, JF (2014)",10.1111/add.12475,NA,NA,Levels of saliva cotinine in electronic cigarette users,Etter J.,Addiction,SCOPUS_ID:84898024235,2,Journal article,0
