Reference,nrefs,Full Reference
"Zhu, SH et al. (2014)",3,"Zhu S-H, Sun JY, Bonnevie E, Cummins SE, Gamst A, Yin L, Lee M. Four hundred and sixty brands of e- cigarettes and counting: implications for product regulation. Tobacco Control. 2014;23:iii3–iii9. doi:10.1136/tobaccocontrol-2014-051670."
Euromonitor International (2013),1,The tobacco industry at a crossroads: cigarettes growth falters as focus falls on alternatives. Euromonitor international. July 2013
"Evans, P (2014)",1,"Evans P. E-cigarettes are the future? Not so fast, says BAT’s boss. Wall Street Journal. 30 July 2014 (http://blogs.wsj.com/corporate-intelligence/2014/07/30/e-cigs-are-the-future-not-so-fast-says-bats-boss/)"
"Prior, A (2014)",1,"Prior A. Lorillard profit down as e-cigarette sales drop: electronic cigarette sales tumble 35%, offsetting slight increase in traditional cigarettes. Wall Street Journal. 30 July 2014 (http://online.wsj.com/articles/lorillard-
profit-down-as-e-cigarette-sales-drop-1406720447).
"
"Wile, R (2014)",1,Wile R. Citi e-cigarettes: the e-cigarette boom is over. Business Insider. 15 May 2014 (http://www.businessinsider.com/citi-ecigarette-growth-slows-2014-5)
"Grana, R et al. (2014a)",3,"Grana R, Benowitz N, Glantz SA. E-cigarettes: a scientific review. Circulation. 2014;129: e490–e492. doi:10.1161/CIRCULATIONAHA.114.008545."
European Commission (2012a),1,"Attitudes of Europeans towards tobacco (Special Eurobarometer 385). European Commission, May 2012."
"Giovenco, DP et al. (2014)",1,"Giovenco DP, Lewis MJ, Delnevo CD. Factors associated with e-cigarette use. American Journal of Preventive Medicine. Published online, 27 May 2014."
US Department of Health and Human Services (2014),4,The health consequences of smoking – 50 years of progress. A report of the Surgeon General. Rockville (MD); US Department of Health and Human Services: 2014 (p.126).
"Bahl, V et al. (2012)",3,"Bahl V, Lin S, Xu N, Davis B, Wang Y. Comparison of electronic cigarette refill fluid cytotoxicity using embryonic and adult models. Reproductive Toxicology. 2012;34:529–37."
"Goniewicz, ML et al. (2014a)",4,"Goniewicz ML, Knysak J, Gawron M, Kosmider L, Sobczak A, Kurek J et al. Levels of selected carcinogens and toxicants in vapour from electronic cigarettes. Tobacco Control. 2014;23(2):133–139. doi:10.1136/tobaccocontrol-2012-050859."
"Schripp, T et al. (2013)",4,"Schripp T., D. Markewitz, E. Uhde, and T. Salthammer. Does e-cigarette consumption cause passive vaping? Indoor Air. 2013;23(1):25–31."
"Schober, W et al. (2014)",4,"Schober W, Szendrei K, Matzen W, Osiander-Fuchs H, Heitmann D, Schettgen T et al. Use of electronic cigarettes (e-cigarettes) impairs indoor air quality and increases FeNO levels of e-cigarette consumers. International Journal of Hygiene and Environmental Health. 2014;217(6):628–37. doi:10.1016/j.ijheh.2013.11.003."
"Czogala, J et al. (2014)",3,"Czogala J, Goniewicz ML, Fidelus B, Zielinska-Danch W, Travers MJ, Sobczak A. Secondhand exposure to vapors from electronic cigarettes. Nicotine and Tobacco Research. 2014;16(6):655–62. doi: 10.1093/ntr/ntt203."
"McAuley, TR et al. (2012)",3,"McAuley TR, Hopke PK, Zhao J, Babaian S. Comparison of the effects of e-cigarette vapor and cigarette smoke on indoor air quality. Inhalation Toxicology. 2012;24(12):850-7."
"Flouris, AD et al. (2013)",3,"Flouris AD, Chorti MS, Poulianiti KP, Jamurtas AZ, Kostikas K, Tzatzarakis MN et al. Acute impact of active and passive electronic cigarette smoking on serum cotinine and lung function. Inhalation Toxicology. 2013;25(2):91–101. doi: 10.3109/08958378.2012.758197."
World Health Organization (2006),2,"WHO air quality guidelines for particulate matter, ozone, nitrogen dioxide and sulfur dioxide: summary of risk assessment. Geneva: World Health Organization; 2006."
