Reference,doi,dir,title,journal,nrefs,type,conflicts
"Schober, W et al. (2014)",10.1016/j.ijheh.2013.11.003,Documents/E-cigarette citation library.Data/PDF/2323319116/10.1016_j.ijheh.2013.11.003-2014.pdf,NA,NA,8,Journal article,"l   Germany   The nicotine content of the liquids was 18 mg ml accord   ing to the manufacturersâ   declarations  The e cigarette contained a  rechargeable lithium ion battery  an electronic circuit  a vaporizer   and a mouthpiece with a refillable tank  Batteries were charged  before the study and between study days to ensure their correct  operation   Subjects  Nine adult volunteers  all males  20â  3
 the study after giving written informed consent   The investigation was conducted according to the Declaration of  Helsinki   Chemical characterization of liquids  1 2 Propanediol  glycerine  To 0 3 g of each liquid 0 1 g internal standard  1 3 propanediol   were added  This mixture was dissolved in 5 ml  isopropanol  and diluted 1 5 with isopropanol  The GC analysis was  carried  out on an Agilent 689
 3 Â  41 0 g l   Nico   ine levels  22 Â  0 8 mg ml  were on average 22  above the  anufacturersâ   declaration of 18 mg ml  but liquids labeled asnd Environmental Health 217  2014  628â  637 631  nicotine free had no nicotine present  All e cigarette solutions  contained small amounts of sensitizing chemicals including  benzylalcohol  menthol  vanillin  and l limonene  which were  mainly present in Liq
facturer  Cameron et al   2013  Goniewicz et al   2013b  and can  sometimes be markedly higher than declared  FDA  2009   Such dif   ferences were also observed in our study  as the nicotine content of  liquids was  1 2 fold higher than claimed by the manufacturer  Still   liquids labeled as nicotine free had no nicotine present  in contrast  to previous findings  FDA  2009   Nicotine is a potent parasy
 cigarettes was also passed by the European  arliament   onflict of interest statement  The authors declare that there are no conflicts of interest   cknowledgments  The authors thank all volunteers for participation in the study   he excellent technical assistance of Beate Emmelot and Ludwig  embacher is greatly appreciated  The study was  funded by the  avarian State Ministry of Health and Cure   efer"
"Bullen, CB et al. (2013)",10.1186/1471-2458-13-210,Documents/E-cigarette citation library.Data/PDF/3245141667/10.1186_1471-2458-13-210-2013.pdf,Study protocol for a randomised controlled trial of electronic cigarettes versus nicotine patch for smoking cessation,BMC Public Health,7,Journal article,"  data collection  data analysis   data interpretation  or writing of this publication  All authors declare that  1   no authors have received support from any companies for the submitted  work   2  CB and HM have previously undertaken research on behalf of  NicoNovum  but prior to the purchase of the company by RJ Reynolds  CB   ML and HM previously undertook research for Ruyan  an e cigarette  manufac
   contributions  CB  NW  HM and ML conceived the original idea for the trial  sought and  obtained funding CB  NW  HM  ML  CH  VP and JW wrote the study protocol   CH manages the day to day running of the trial  including all participant  follow up  VP will undertake all data analyses  This protocol paper was  written by CB and JW with input from all co authors  CB is guarantor for this  paper  All auth
gratefully acknowledge the support and ideas from our colleagues in the  wider NIHI research team   Funding  This trial is funded in full by an external project grant from the Health  Research Council of New Zealand  HRC 10 243    The design  conduct  analyses and interpretation of the trial are independent  from the trial sponsor and PGM International Ltd   Author details  1National Institute for Health"
"Dutra, LM and Glantz, SA (2014)",10.1001/jamapediatrics.2013.5488,Documents/E-cigarette citation library.Data/PDF/1895890010/10.1001_jamapediatrics.2013.5488-2014.pdf,Electronic cigarettes and conventional cigarette use among US adolescents: A cross-sectional study,JAMA Pediatrics,6,Journal article,for important  intellectual content  Dutra  Glantz   Statistical analysis  Dutra  Glantz   Obtained funding  Glantz   Administrative  technical  or material support  Glantz   Study supervision  Glantz   Conflict of Interest Disclosures  None reported   Funding Support  This work was supported by  grants CA 113710 and CA 060121 from the National  Cancer Institute   Role of the Sponsor  The funder had no r
"Leventhal, AM et al. (2015)",10.1001/jama.2015.8950,Documents/E-cigarette citation library.Data/PDF/1347584027/10.1001_jama.2015.8950-2015.pdf,Association of electronic cigarette use with initiation of combustible tobacco product smoking in early adolescence,JAMA - Journal of the American Medical Association,6,Journal article,"ain McGovern   Statistical analysis  Leventhal  Unger  Stone   Khoddam  Audrain McGovern   Obtained funding  Leventhal  Strong  Riggs   Audrain McGovern   Administrative  technical  or material support   Kirkpatrick  Sussman  Stone  Khoddam  Samet   Study supervision  Leventhal  Kirkpatrick  Unger   Samet  Audrain McGovern   Conflict of Interest Disclosures  The authors have  completed and submitted the 
ICMJE Form for  Disclosure of Potential Conflicts of Interest and  none were reported   Funding Support  This research was supported by  grants R01 DA033296 and P50 CA180905 from  the National Institutes of Health   Role of Funder Sponsor  The National Institutes of  Health had no role in the design and conduct of the  study  collection  management  analysis  and  interpretation of the data  "
"Bullen, CB et al. (2010)",10.1136/tc.2009.031567,Documents/E-cigarette citation library.Data/PDF/4160832064/10.1136_tc.2009.031567-2010.pdf,"Effect of an electronic nicotine delivery device (e cigarette) on desire to smoke and withdrawal, user preferences and nicotine delivery: Randomised cross-over trial",Tobacco Control,6,Journal article,"part  and Joanne Lorimer   Denise Miller and Henry Bohte for their help in undertaking this study   Funding This project was funded by Ruyan Group  Holdings  Limited  Beijing and  Hong Kong  via Health New Zealand Ltd  The study sponsors supplied the ENDDs used  in the trial and funded the trial  The Clinical Trials Research Unit contracted with  Health New Zealand Ltd to conduct the trial  independently
d  independently of the sponsors   Competing interests CB  ST and RL have no competing interests to declare  HM has  received honoraria for speaking at research symposia and received benefits in kind and  travel support from  and has provided consultancy to the manufacturers of smoking  cessation medications  ML acted as contract manager with the sponsor  Ruyan Group   Holdings  Limited  via his company"
"Czogala, J et al. (2014)",10.1093/ntr/ntt203,Documents/E-cigarette citation library.Data/PDF/1645567572/10.1093_ntr_ntt203-2014.pdf,NA,NA,5,Journal article,"entary Material  Supplementary Material can be found online at http   www ntr   oxfordjournals org  Funding  This work was supported by the Ministry of Science and Higher   Education of Poland  N N404 016939   The study sponsor had   no involvement in the study design  collection  analysis  and   interpretation of data  the writing of the manuscript  or the   decision to submit the manuscript for publica
tion   deClaratiOn OF interests  MLG received research funding from Pfizer  manufacturer of   stop smoking medication  and was funded by the UK Centre   for Tobacco Control Studies  UKCTCS  during the study  AS   661  secondhand exposure to vapors from e cigarettes  received research funds and travel expenses from Chic Group   Ltd   manufacturer of electronic 
cigarettes in Poland  Other   authors declare no conflicts of interest   reFerenCes  Bullen  C   McRobbie  H   Thornley  S   Glover  M   Lin  R       Laugesen  M   2010   Effect of an electronic nicotine   delivery device  e cigarette  on desire to smoke and with   drawal  user preferences and nicotine delivery  Randomised   cross over trial  Tobacco Cont"
"Goniewicz, ML et al. (2014a)",10.1136/tobaccocontrol-2012-050859,Documents/E-cigarette citation library.Data/PDF/0076762555/10.1136_tobaccocontrol-2012-050859-20141.pdf,NA,NA,5,Journal article,"ermined based on the results of  inhalation topography measurement among 10 â  eâ  smokersâ     who declared that they regularly use e cigarettes for a period  Table 1 Selected toxic compounds identified in tobacco smoke 20â  23  Chemical compounds Toxic effects  Carbonyl compounds  Formaldehyde   acetaldehyde   acrolein  Cytotoxic  carcinogenic  irritant  pulmonary emphysema   dermatitis  Volatile orga
NAs  MLG and JK analysed the data  All  contributors approved the final version of the manuscript   Funding This study was conducted while the first author was at Medical University  of Silesia  Poland and was supported by the Ministry of Science and Higher  Education of Poland under grant number N N404 025638  The study sponsor had  no involvement in the study design  collection  analysis and interpreta
nd S10 RR026437 from the National  Institutes of Health   Competing interests MLG received research funding from Pfizer  manufacturer of  stop smoking medication and is currently funded by the UK Centre for Tobacco  Control Studies  UKCTCS   UK Public Health Centre of Excellence  UKCTCS receives it  funding from the Economic and Social Research Council  ESRC   British Heart  Foundation  BHF   Cancer Rese
 medications and has been a paid expert  in litigation against tobacco companies  The other authors declare they have no  actual or potential competing financial interests   Provenance and peer review Not commissioned  externally peer reviewed   Data sharing statement Data could be made available to qualified researchers by  request to the corresponding author   REFERENCES  1 Bullen C  McRobbie H  Thorn"
"McAuley, TR et al. (2012)",10.3109/08958378.2012.724728,Documents/E-cigarette citation library.Data/PDF/3724014704/10.3109_08958378.2012.724728-2012.pdf,Comparison of the effects of e-cigarette vapor and cigarette smoke on indoor air quality,Inhalation Toxicology,5,Journal article," as hundreds of National Vapers Club supporters who   provided individual financial contributions   Declaration of interest  National Vapers Club  NVC  has spent more than 3   years educating people about electronic cigarettes  This   research was necessary to have more thorough informa   tion to present to scientific and political bodies who are   struggling with regulation of a new product about which
   there is very little published scientific data  Funding was   obtained by fundraising events held by NVC as well as   individual donations by NVC members  and in part by   e cigarette retailers who contacted NVC to offer con   tributions  Although NVC funded this study  it had no   control over the results  The scientists and independent   contractors h"
"Cheng, T (2014)",10.1136/tobaccocontrol-2013-051482,Documents/E-cigarette citation library.Data/PDF/2701307975/10.1136_tobaccocontrol-2013-051482-2014.pdf,Chemical evaluation of electronic cigarettes,Tobacco Control,5,Journal article,
"Kreiss, K et al. (2002)",10.1056/NEJMoa020300,Documents/E-cigarette citation library.Data/PDF/2784245064/10.1056_NEJMoa020300-2002.pdf,Clinical bronchiolitis obliterans in workers at a microwave-popcorn plant,New England Journal of Medicine,4,Journal article,
