"1","2","3","4"
"Zhu SH et al. (2014)","Zhu, SH et al. (2014)",NA,NA
"Wile, R (2014)","Wise, J (2014)",NA,NA
"Bahl, Vet al. (2012)","Bahl, V et al. (2012)",NA,NA
"World Health Organization (2006)","World Health Organisation (2006)",NA,NA
"Brown, J et al. (2014a)","Brown, J. et al. (2014a)",NA,NA
"Sutfina, EL et al. (2013)","Sutfin, EL et al. (2013)",NA,NA
"Peeters, S and Gilmore, AB (2014)","Peeters, S and Gilmore AB (2014)",NA,NA
"Barrington-Trimis, J et al. (2014)","Barrington-Trimis, JL et al. (2014)",NA,NA
"Behar, R et al. (2014)","Beard, E et al. (2014)","Behar, RZ et al. (2014)",NA
"Tierney, P et al. (2015)","Tierney, PA et al. (2015)",NA,NA
"Lerner, C et al. (2015a)","Lerner, CA et al. (2015a)",NA,NA
"Bahl, V et al. (2012)","Bauld, L et al. (2012)",NA,NA
"Kalkhoran, S and Glantz, S (2015)","Kalkhoran, S and Glantz SA (2015)","Kalkhoran, S and Glantz, SA (2015)",NA
"Hess, I et al. (2016)","Hess, IM et al. (2016)","Hess, IMR et al. (2016)","Hessa, IM et al. (2016)"
"Ballbè, M et al. (2014)","Ballbèm M et al. (2014)","Ballbe, M et al. (2014)",NA
"McRobbie, H et al. (2014a)","Mcrobbie, H et al. (2014a)",NA,NA
"Kalkhoran, S and Glantz, S (2016)","Kalkhoran, S and Glantz SA (2016)","Kalkhoran, S and Glantz, SA (2016)",NA
"Primack, B et al. (2015)","Primack, BA et al. (2015)",NA,NA
"Barrington-Trimis, J et al. (2016)","Barrington-Trimis JL et al. (2016)","Barrington-Trimis, JL et al. (2016)",NA
"Grana, R and Ling, P (2014)","Grana, R and Ling, PM (2014)",NA,NA
"Cobb, N et al. (2013)","Cobb, NK et al. (2013)",NA,NA
"Chaloupka, F et al. (2015)","Chaloupka, FJ et al. (2015)",NA,NA
"Ambrose, B et al. (2015)","Ambrose, BK et al. (2015)",NA,NA
"National Institute for Health Care and Excellence (2013b)","National Institute for Health and Care Excellence (2013b)",NA,NA
"Russel, MAH (1991)","Russell, MA (1991)",NA,NA
"Gray, NJ (2013)","Gray, E (2013)",NA,NA
"Etter, JF and Bullen, C (2011a)","Etter, JF and Bullen, CB (2011a)","Etter, JF and Bullen CB (2011a)",NA
"Medicines and Healthcare Products Regulatory Agency (2013a)","Medicines and Healthcare products Regulatory Agency (2013a)",NA,NA
"Office of National Statistics (2013)","Office for National Statistics (2013)",NA,NA
"Moore, GF et al. (2015)","Moore, G et al. (2015)",NA,NA
"Moore, GF et al. (2014)","Moore, G et al. (2014)",NA,NA
"Bell, K and  Keane, H (2014)","Bell, K and Keane, H (2014)",NA,NA
"National Institute for Health Care and Excellence (2013c)","National Institute for Health and Care Excellence (2013c)",NA,NA
"Stead, LF and Lancaster, T (2012)","Stead, LF and Lancaster T (2012)",NA,NA
"Kotz, DJ et al (2014)","Kotz, D et al. (2014)",NA,NA
