"","id","Reference"
"1","[1]","Grana, R et al. (2014a)"
"2","[2]","US Department of Health and Human Services (2014)"
"3","[3]","Goniewicz, ML et al. (2014a)"
"4","[4]","Schripp, T et al. (2013)"
"5","[5]","Schober, W et al. (2014)"
"6","[6]","Czogala, J et al. (2014)"
"7","[7]","McAuley, TR et al. (2012)"
"8","[8]","Flouris, AD et al. (2013)"
"9","[9]","Bullen, CB et al. (2013)"
"10","[10]","West, R et al. (2014a)"
"11","[11]","US Department of Health and Human Services (2012)"
"12","[12]","Kreiss, K et al. (2002)"
"13","[13]","Harber, P et al. (2006)"
"14","[14]","Cervellati, F et al. (2014)"
"15","[15]","Bahl, V et al. (2012)"
"16","[16]","McNeill, A et al. (2015a)"
"17","[17]","Saffari, A et al. (2014)"
"18","[18]","The Royal College of Physicians (2016)"
"19","[19]","McRobbie, H et al. (2014a)"
"20","[20]","Biener, L and Hargraves, J (2015)"
"21","[21]","Brose, LS et al. (2015a)"
"22","[22]","Leventhal, AM et al. (2015)"
"23","[23]","de Andrade, M et al. (2013b)"
"24","[24]","National Institute for Health and Care Excellence (2013)"
"25","[25]","Dawkins, L and Corcoran, O (2014)"
"26","[26]","Hitchman, S et al. (2015)"
"27","[27]","Caponnetto, P et al. (2013a)"
"28","[28]","Adriaens, K et al. (2014)"
"29","[29]","Mayer, B (2014)"
"30","[30]","Cheng, T (2014)"
"31","[31]","Etter, JF et al. (2013)"
"32","[32]","Goniewicz, ML et al. (2014b)"
"33","[33]","Ingebrethsen, BJ et al. (2012)"
"34","[34]","Uchiyama, S et al. (2013)"
"35","[35]","Hajek, P et al. (2015a)"
"36","[36]","Nides, MA et al. (2014)"
"37","[37]","Bullen, CB et al. (2010)"
"38","[38]","Vansickel, AR et al. (2010)"
"39","[39]","Vansickel, AR et al. (2012)"
"40","[40]","Vansickel, AR and Eissenberg, T (2013)"
"41","[41]","Farsalinos, KE et al. (2013b)"
"42","[42]","Yan, XS and D’Ruiz, C (2015)"
"43","[43]","Britton, J and Bogdanovica, I (2014)"
"44","[44]","Hajek, P et al. (2014)"
"45","[45]","Jensen, RP et al. (2015)"
"46","[46]","Lerner, CA et al. (2015)"
"47","[47]","McRobbie, H et al. (2014b)"
"48","[48]","Polosa, R et al. (2014b)"
"49","[49]","Ordonez, JE et al. (2015)"
"50","[50]","Gravely, S et al. (2014)"
"51","[51]","Dutra, LM and Glantz, SA (2014)"
"52","[52]","Wills, TA et al. (2015)"
"53","[53]","Bauld, L et al. (2014)"
"54","[54]","Dockrell, M et al. (2013)"
"55","[55]","Etter, JF and Eissenberg, T (2015)"
"56","[56]","Action on Smoking and Health (2017)"
"57","[57]","Beard, E et al. (2016)"
"58","[58]","Brown, J et al. (2014c)"
"59","[59]","Sleiman, M et al. (2016)"
"60","[60]","Leigh, NJ et al. (2016)"
"61","[61]","Khlystov, A and Samburova, V (2016)"
"62","[62]","Geiss, O et al. (2016)"
"63","[63]","Kosmider, L et al. (2014)"
"64","[64]","Adkison, SE et al. (2013)"
"65","[65]","US Department of Health and Human Services (2004)"
"66","[66]","Hutzler, C et al. (2014)"
"67","[67]","Williams, M et al. (2013)"
"68","[68]","Burstyn, I (2014)"
"69","[69]","Primack, BA et al. (2015)"
"70","[70]","Hartmann-Boyce, J et al. (2016)"
"71","[71]","Grana, R et al. (2013)"
"72","[72]","World Health Organisation (2014a)"
"73","[73]","Centers for Disease Control and Prevention (2013a)"
"74","[74]","Regan, AK et al. (2013)"
"75","[75]","Buettner-Schmidt, K et al. (2016)"
